	File name	condition	project	reference_condition	Strain	Mode of operation	Media	Limitation	C-source	Growth rate	DO	pH	Temperature	Read1	Read2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation
yl_001	PD019 A1 S02 #1	µ0.05_DO50	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	50	6	30	ylipolytic2025_repeat/PD019A1S021A_1.fq.gz	ylipolytic2025_repeat/PD019A1S021A_2.fq.gz	True	True	True
yl_002	PD019 A1 S02 #2	µ0.05_DO50	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	50	6	30	ylipolytic2025_repeat/PD019A1S022A_1.fq.gz	ylipolytic2025_repeat/PD019A1S022A_2.fq.gz	True	True	True
yl_003	PD019 A1 S03 #2	µ0.05_DO25	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	25	6	30	ylipolytic2025_repeat/PD019A1S032A_1.fq.gz	ylipolytic2025_repeat/PD019A1S032A_2.fq.gz	True	True	True
yl_004	PD019 A1 S03 #1	µ0.05_DO25	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	25	6	30	ylipolytic2025_repeat/PD019A1S031A_1.fq.gz	ylipolytic2025_repeat/PD019A1S031A_2.fq.gz	True	True	True
yl_005	PD019 A1 S04 #1	µ0.05_DO10	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	10	6	30	ylipolytic2025_repeat/PD019A1S041A_1.fq.gz	ylipolytic2025_repeat/PD019A1S041A_2.fq.gz	True	True	True
yl_006	PD019 A1 S04 #2	µ0.05_DO10	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	10	6	30	ylipolytic2025_repeat/PD019A1S042A_1.fq.gz	ylipolytic2025_repeat/PD019A1S042A_2.fq.gz	True	True	True
yl_007	PD019 A1 S05 #1	µ0.05_DO5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	5	6	30	ylipolytic2025_repeat/PD019A1S051A_1.fq.gz	ylipolytic2025_repeat/PD019A1S051A_2.fq.gz	True	True	True
yl_008	PD019 A1 S05 #2	µ0.05_DO5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	5	6	30	ylipolytic2025_repeat/PD019A1S052A_1.fq.gz	ylipolytic2025_repeat/PD019A1S052A_2.fq.gz	True	True	True
yl_009	PD019 A1 S06 #1	µ0.05_DO2.5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	2.5	6	30	ylipolytic2025_repeat/PD019A1S061A_1.fq.gz	ylipolytic2025_repeat/PD019A1S061A_2.fq.gz	True	True	True
yl_010	PD019 A1 S06 #2	µ0.05_DO2.5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	2.5	6	30	ylipolytic2025_repeat/PD019A1S062A_1.fq.gz	ylipolytic2025_repeat/PD019A1S062A_2.fq.gz	True	True	True
yl_011	PD019 A1 S07 #1	µ0.05_DO0	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	0	6	30	ylipolytic2025_repeat/PD019A1S071A_1.fq.gz	ylipolytic2025_repeat/PD019A1S071A_2.fq.gz	True	True	True
yl_012	PD019 A1 S07 #2	µ0.05_DO0	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	0	6	30	ylipolytic2025_repeat/PD019A1S072A_1.fq.gz	ylipolytic2025_repeat/PD019A1S072A_2.fq.gz	True	True	True
yl_013	PD017 A3 S02 #1	µ0.2_DO50	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	50	6	30	ylipolytic2025_repeat/PD017A3S021A_1.fq.gz	ylipolytic2025_repeat/PD017A3S021A_2.fq.gz	True	True	True
yl_014	PD017 A3 S02 #2	µ0.2_DO50	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	50	6	30	ylipolytic2025_repeat/PD017A3S022A_1.fq.gz	ylipolytic2025_repeat/PD017A3S022A_2.fq.gz	True	True	True
yl_015	PD017 A3 S03 #1	µ0.2_DO25	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	25	6	30	ylipolytic2025_repeat/PD017A3S031A_1.fq.gz	ylipolytic2025_repeat/PD017A3S031A_2.fq.gz	True	True	True
yl_016	PD017 A3 S03 #2	µ0.2_DO25	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	25	6	30	ylipolytic2025_repeat/PD017A3S032A_1.fq.gz	ylipolytic2025_repeat/PD017A3S032A_2.fq.gz	True	True	True
yl_017	PD017 A3 S04 #1	µ0.2_DO10	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	10	6	30	ylipolytic2025_repeat/PD017A3S041A_1.fq.gz	ylipolytic2025_repeat/PD017A3S041A_2.fq.gz	True	True	True
yl_018	PD017 A3 S04 #2	µ0.2_DO10	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	10	6	30	ylipolytic2025_repeat/PD017A3S042A_1.fq.gz	ylipolytic2025_repeat/PD017A3S042A_2.fq.gz	True	True	True
yl_019	PD017 A3 S05 #1	µ0.2_DO5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	5	6	30	ylipolytic2025_repeat/PD017A3S051A_1.fq.gz	ylipolytic2025_repeat/PD017A3S051A_2.fq.gz	True	True	True
yl_020	PD017 A3 S05 #2	µ0.2_DO5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	5	6	30	ylipolytic2025_repeat/PD017A3S052A_1.fq.gz	ylipolytic2025_repeat/PD017A3S052A_2.fq.gz	True	True	True
yl_021	PD017 A3 S06 #1	µ0.2_DO2.5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	2.5	6	30	ylipolytic2025_repeat/PD017A3S061A_1.fq.gz	ylipolytic2025_repeat/PD017A3S061A_2.fq.gz	True	True	True
yl_022	PD017 A3 S06 #2	µ0.2_DO2.5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	2.5	6	30	ylipolytic2025_repeat/PD017A3S062A_1.fq.gz	ylipolytic2025_repeat/PD017A3S062A_2.fq.gz	True	True	True
yl_023	PD017 A3 S07 #1	µ0.2_DO0	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	0	6	30	ylipolytic2025_repeat/PD017A3S071A_1.fq.gz	ylipolytic2025_repeat/PD017A3S071A_2.fq.gz	True	True	True
yl_024	PD017 A3 S07 #2	µ0.2_DO0	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	0	6	30	ylipolytic2025_repeat/PD017A3S072A_1.fq.gz	ylipolytic2025_repeat/PD017A3S072A_2.fq.gz	True	True	True
yl_025	PD017 A1 S02 #1	µ0.1_DO50	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	50	6	30	ylipolytic2025_repeat/PD017A1S021A_1.fq.gz	ylipolytic2025_repeat/PD017A1S021A_2.fq.gz	True	True	True
yl_026	PD017 A1 S02 #2	µ0.1_DO50	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	50	6	30	ylipolytic2025_repeat/PD017A1S022A_1.fq.gz	ylipolytic2025_repeat/PD017A1S022A_2.fq.gz	True	True	True
yl_027	PD017 A1 S03 #1	µ0.1_DO25	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	25	6	30	ylipolytic2025_repeat/PD017A1S031A_1.fq.gz	ylipolytic2025_repeat/PD017A1S031A_2.fq.gz	True	True	True
yl_028	PD017 A1 S03 #2	µ0.1_DO25	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	25	6	30	ylipolytic2025_repeat/PD017A1S032A_1.fq.gz	ylipolytic2025_repeat/PD017A1S032A_2.fq.gz	True	True	True
yl_029	PD017 A1 S04 #1	µ0.1_DO10	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	10	6	30	ylipolytic2025_repeat/PD017A1S041A_1.fq.gz	ylipolytic2025_repeat/PD017A1S041A_2.fq.gz	True	True	True
yl_030	PD017 A1 S04 #2	µ0.1_DO10	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	10	6	30	ylipolytic2025_repeat/PD017A1S042A_1.fq.gz	ylipolytic2025_repeat/PD017A1S042A_2.fq.gz	True	True	True
yl_031	PD017 A1 S05 #1	µ0.1_DO5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	5	6	30	ylipolytic2025_repeat/PD017A1S051A_1.fq.gz	ylipolytic2025_repeat/PD017A1S051A_2.fq.gz	True	True	True
yl_032	PD017 A1 S05 #2	µ0.1_DO5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	5	6	30	ylipolytic2025_repeat/PD017A1S052A_1.fq.gz	ylipolytic2025_repeat/PD017A1S052A_2.fq.gz	True	True	True
yl_033	PD017 A1 S06 #1	µ0.1_DO2.5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	2.5	6	30	ylipolytic2025_repeat/PD017A1S061A_1.fq.gz	ylipolytic2025_repeat/PD017A1S061A_2.fq.gz	True	True	True
yl_034	PD017 A1 S06 #2	µ0.1_DO2.5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	2.5	6	30	ylipolytic2025_repeat/PD017A1S062A_1.fq.gz	ylipolytic2025_repeat/PD017A1S062A_2.fq.gz	True	True	True
yl_035	PD017 A1 S07 #1	µ0.1_DO0	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	0	6	30	ylipolytic2025_repeat/PD017A1S071A_1.fq.gz	ylipolytic2025_repeat/PD017A1S071A_2.fq.gz	True	True	True
yl_036	PD017 A1 S07 #2	µ0.1_DO0	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	0	6	30	ylipolytic2025_repeat/PD017A1S072A_1.fq.gz	ylipolytic2025_repeat/PD017A1S072A_2.fq.gz	True	True	True
yl_037	W29 S02 1 trans	µ0	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.0	40	6	30	ylipolytic2025_repeat/W29S02-1transA_1.fq.gz	ylipolytic2025_repeat/W29S02-1transA_2.fq.gz	True	True	True
yl_038	W29 S02 2 trans	µ0	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.0	40	6	30	ylipolytic2025_repeat/W29S02-2transA_1.fq.gz	ylipolytic2025_repeat/W29S02-2transA_2.fq.gz	True	True	True
yl_039	W29 S03 1 trans	µ0.05	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.05	40	6	30	ylipolytic2025_repeat/W29S03-1transA_1.fq.gz	ylipolytic2025_repeat/W29S03-1transA_2.fq.gz	True	True	True
yl_040	W29 S03 2 trans	µ0.05	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.05	40	6	30	ylipolytic2025_repeat/W29S03-2transA_1.fq.gz	ylipolytic2025_repeat/W29S03-2transA_2.fq.gz	True	True	True
yl_041	W29 S04 1 trans	µ0.1	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/W29S04-1transA_1.fq.gz	ylipolytic2025_repeat/W29S04-1transA_2.fq.gz	True	True	True
yl_042	W29 S04 2 trans	µ0.1	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/W29S04-2transA_1.fq.gz	ylipolytic2025_repeat/W29S04-2transA_2.fq.gz	True	True	True
yl_043	W29 S05 2 trans	µ0.15	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/W29S05-2transA_1.fq.gz	ylipolytic2025_repeat/W29S05-2transA_2.fq.gz	True	True	True
yl_044	W29 S05 1 trans	µ0.15	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/W29S05-1transA_1.fq.gz	ylipolytic2025_repeat/W29S05-1transA_2.fq.gz	True	True	True
yl_045	W29 S06 2 trans	µ0.2	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.2	40	6	30	ylipolytic2025_repeat/W29S06-2transA_1.fq.gz	ylipolytic2025_repeat/W29S06-2transA_2.fq.gz	True	True	True
yl_046	W29 S06 1 trans	µ0.2	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.2	40	6	30	ylipolytic2025_repeat/W29S06-1transA_1.fq.gz	ylipolytic2025_repeat/W29S06-1transA_2.fq.gz	True	True	True
yl_047	W29 S07 2 trans	µ0.25	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.25	40	6	30	ylipolytic2025_repeat/W29S07-2transA_1.fq.gz	ylipolytic2025_repeat/W29S07-2transA_2.fq.gz	True	True	True
yl_048	W29 S07 1 trans	µ0.25	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.25	40	6	30	ylipolytic2025_repeat/W29S07-1transA_1.fq.gz	ylipolytic2025_repeat/W29S07-1transA_2.fq.gz	True	True	True
yl_049	W29 S08 2 trans	µ0.3	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.3	40	6	30	ylipolytic2025_repeat/W29S08-2transA_1.fq.gz	ylipolytic2025_repeat/W29S08-2transA_2.fq.gz	True	True	True
yl_050	W29 S08 1 trans	µ0.3	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.3	40	6	30	ylipolytic2025_repeat/W29S08-1transA_1.fq.gz	ylipolytic2025_repeat/W29S08-1transA_2.fq.gz	True	True	True
yl_051	SUC S02 1 trans	µ0_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.0	40	6	30	ylipolytic2025_repeat/SUCS02-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS02-1transA_2.fq.gz	True	True	True
yl_052	SUC S02 2 trans	µ0_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.0	40	6	30	ylipolytic2025_repeat/SUCS02-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS02-2transA_2.fq.gz	True	True	True
yl_053	SUC S03 2 trans	µ0.05_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.05	40	6	30	ylipolytic2025_repeat/SUCS03-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS03-2transA_2.fq.gz	True	True	True
yl_054	SUC S03 1 trans	µ0.05_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.05	40	6	30	ylipolytic2025_repeat/SUCS03-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS03-1transA_2.fq.gz	True	True	True
yl_055	SUC S04 2 trans	µ0.075_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.075	40	6	30	ylipolytic2025_repeat/SUCS04-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS04-2transA_2.fq.gz	True	True	True
yl_056	SUC S04 1 trans	µ0.075_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.075	40	6	30	ylipolytic2025_repeat/SUCS04-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS04-1transA_2.fq.gz	True	True	True
yl_057	SUC S05 2 trans	µ0.1_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/SUCS05-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS05-2transA_2.fq.gz	True	True	True
yl_058	SUC S05 1 trans	µ0.1_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/SUCS05-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS05-1transA_2.fq.gz	True	True	True
yl_059	SUC S06 2 trans	µ0.125_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.125	40	6	30	ylipolytic2025_repeat/SUCS06-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS06-2transA_2.fq.gz	True	True	True
yl_060	SUC S06 1 trans	µ0.125_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.125	40	6	30	ylipolytic2025_repeat/SUCS06-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS06-1transA_2.fq.gz	True	True	True
yl_061	SUC S07 2 trans	µ0.15_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/SUCS07-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS07-2transA_2.fq.gz	True	True	True
yl_062	SUC S07 1 trans	µ0.15_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/SUCS07-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS07-1transA_2.fq.gz	True	True	True
yl_063	R1_S02_#2	CO2_10%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S02_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S02_#2A_2.fq.gz	True	True	True
yl_064	R1_S03_#1	CO2_20%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S03_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S03_#1A_2.fq.gz	True	True	True
yl_065	R1_S03_#2	CO2_20%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S03_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S03_#2A_2.fq.gz	True	True	True
yl_066	R1_S04_#1	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S04_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S04_#1A_2.fq.gz	True	True	True
yl_067	R1_S04_#2	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S04_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S04_#2A_2.fq.gz	True	True	True
yl_068	R1_S05_#1	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S05_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S05_#1A_2.fq.gz	True	True	True
yl_069	R1_S05_#2	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S05_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S05_#2A_2.fq.gz	True	True	True
yl_070	R1_S06_#1	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S06_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S06_#1A_2.fq.gz	True	True	True
yl_071	R1_S06_#2	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S06_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S06_#2A_2.fq.gz	True	True	True
yl_072	R1_S08_#1	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S08_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S08_#1A_2.fq.gz	True	True	True
yl_073	R1_S08_#2	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S08_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S08_#2A_2.fq.gz	True	True	True
yl_074	R3_S02_#1	CO2_10%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S02_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S02_#1A_2.fq.gz	True	True	True
yl_075	R3_S02_#2	CO2_10%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S02_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S02_#2A_2.fq.gz	True	True	True
yl_076	R3_S04_#1	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S04_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S04_#1A_2.fq.gz	True	True	True
yl_077	R3_S04_#2	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S04_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S04_#2A_2.fq.gz	True	True	True
yl_078	R3_S05_#1	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S05_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S05_#1A_2.fq.gz	True	True	True
yl_079	R3_S05_#2	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S05_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S05_#2A_2.fq.gz	True	True	True
yl_080	R3_S06_#1	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S06_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S06_#1A_2.fq.gz	True	True	True
yl_081	R3_S06_#2	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S06_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S06_#2A_2.fq.gz	True	True	True
yl_082	R3_S08_#1	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S08_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S08_#1A_2.fq.gz	True	True	True
yl_083	R3_S08_#2	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft		Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S08_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S08_#2A_2.fq.gz	True	True	True
yl_084	20210204-YL-CN-1	Glucose_Nlimit	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-CN-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-CN-1A_2.fq.gz	True	True	True
