	File name	condition	project	reference_condition	Strain	Mode of operation	Media	Limitation	C-source	Growth rate	DO	pH	Temperature	Read1	Read2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation
yl_085	20210204-YL-CN-2	Glucose_Nlimit	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-CN-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-CN-2A_2.fq.gz	True	True	True
yl_086	20210204-YL-fill-1	Glucose_lowDO	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/20210204-YL-fill-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-fill-1A_2.fq.gz	True	True	True
yl_087	20210204-YL-fill-2	Glucose_lowDO	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/20210204-YL-fill-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-fill-2A_2.fq.gz	True	True	True
yl_088	20210204-YL-ref-1	Glucose_shaken_reference	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-ref-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-ref-1A_2.fq.gz	True	True	True
yl_089	20210204-YL-ref-2	Glucose_shaken_reference	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-ref-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-ref-2A_2.fq.gz	True	True	True
yl_090	M1-V02-1A	High glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M1-V02-1A_1.fq.gz	ylipolytic2025_repeat/M1-V02-1A_2.fq.gz	True	True	True
yl_091	M1-V03-1A	High glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M1-V03-1A_1.fq.gz	ylipolytic2025_repeat/M1-V03-1A_2.fq.gz	True	True	True
yl_092	M2-V01-1A	High glucose_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M2-V01-1A_1.fq.gz	ylipolytic2025_repeat/M2-V01-1A_2.fq.gz	True	True	True
yl_093	M2-V02-1A	High glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M2-V02-1A_1.fq.gz	ylipolytic2025_repeat/M2-V02-1A_2.fq.gz	True	True	True
yl_094	M2-V03-1A	High glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M2-V03-1A_1.fq.gz	ylipolytic2025_repeat/M2-V03-1A_2.fq.gz	True	True	True
yl_095	M3-V01-1A	Glucose_Nlimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M3-V01-1A_1.fq.gz	ylipolytic2025_repeat/M3-V01-1A_2.fq.gz	True	True	True
yl_096	M4-V01-1A	Glucose_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M4-V01-1A_1.fq.gz	ylipolytic2025_repeat/M4-V01-1A_2.fq.gz	True	True	True
yl_097	M6-V01-1A	Glucose_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M6-V01-1A_1.fq.gz	ylipolytic2025_repeat/M6-V01-1A_2.fq.gz	True	True	True
yl_098	M7-V01-1A	Glucose_Mglimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M7-V01-1A_1.fq.gz	ylipolytic2025_repeat/M7-V01-1A_2.fq.gz	True	True	True
yl_099	M8-V01-1A	Glucose_Mglimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M8-V01-1A_1.fq.gz	ylipolytic2025_repeat/M8-V01-1A_2.fq.gz	True	True	True
yl_100	M9-V01-1A	Glucose_highDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M9-V01-1A_1.fq.gz	ylipolytic2025_repeat/M9-V01-1A_2.fq.gz	True	True	True
yl_101	M9-V02-1A	Glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M9-V02-1A_1.fq.gz	ylipolytic2025_repeat/M9-V02-1A_2.fq.gz	True	True	True
yl_102	M9-V03-1A	Glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M9-V03-1A_1.fq.gz	ylipolytic2025_repeat/M9-V03-1A_2.fq.gz	True	True	True
yl_103	M10-V01-1A	Glucose_highDO_ph6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M10-V01-1A_1.fq.gz	ylipolytic2025_repeat/M10-V01-1A_2.fq.gz	True	True	True
yl_104	M10-V02-1A	Glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M10-V02-1A_1.fq.gz	ylipolytic2025_repeat/M10-V02-1A_2.fq.gz	True	True	True
yl_105	M10-V03-1A	Glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M10-V03-1A_1.fq.gz	ylipolytic2025_repeat/M10-V03-1A_2.fq.gz	True	True	True
yl_106	M11-V01-1A	High glycerol_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M11-V01-1A_1.fq.gz	ylipolytic2025_repeat/M11-V01-1A_2.fq.gz	True	True	True
yl_107	M12-V01-1A	Glycerol_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M12-V01-1A_1.fq.gz	ylipolytic2025_repeat/M12-V01-1A_2.fq.gz	True	True	True
yl_108	M13-V01-1A	Glycerol_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M13-V01-1A_1.fq.gz	ylipolytic2025_repeat/M13-V01-1A_2.fq.gz	True	True	True
yl_109	M15-V01-1A	Glycerol_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M15-V01-1A_1.fq.gz	ylipolytic2025_repeat/M15-V01-1A_2.fq.gz	True	True	True
yl_110	M15-V03-1A	Glycerol_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	Low	6	30	ylipolytic2025_repeat/M15-V03-1A_1.fq.gz	ylipolytic2025_repeat/M15-V03-1A_2.fq.gz	True	True	True
yl_111	M1-V02-2A	High glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M1-V02-2A_1.fq.gz	ylipolytic2025_repeat/M1-V02-2A_2.fq.gz	True	True	True
yl_112	M1-V03-2A	High glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M1-V03-2A_1.fq.gz	ylipolytic2025_repeat/M1-V03-2A_2.fq.gz	True	True	True
yl_113	M2-V01-2A	High glucose_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M2-V01-2A_1.fq.gz	ylipolytic2025_repeat/M2-V01-2A_2.fq.gz	True	True	True
yl_114	M2-V02-2A	High glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M2-V02-2A_1.fq.gz	ylipolytic2025_repeat/M2-V02-2A_2.fq.gz	True	True	True
yl_115	M2-V03-2A	High glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M2-V03-2A_1.fq.gz	ylipolytic2025_repeat/M2-V03-2A_2.fq.gz	True	True	True
yl_116	M3-V01-2A	Glucose_Nlimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M3-V01-2A_1.fq.gz	ylipolytic2025_repeat/M3-V01-2A_2.fq.gz	True	True	True
yl_117	M4-V01-2A	Glucose_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M4-V01-2A_1.fq.gz	ylipolytic2025_repeat/M4-V01-2A_2.fq.gz	True	True	True
yl_118	M6-V01-2A	Glucose_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M6-V01-2A_1.fq.gz	ylipolytic2025_repeat/M6-V01-2A_2.fq.gz	True	True	True
yl_119	M7-V01-2A	Glucose_Mglimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M7-V01-2A_1.fq.gz	ylipolytic2025_repeat/M7-V01-2A_2.fq.gz	True	True	True
yl_120	M8-V01-2A	Glucose_Mglimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M8-V01-2A_1.fq.gz	ylipolytic2025_repeat/M8-V01-2A_2.fq.gz	True	True	True
yl_121	M9-V01-2A	Glucose_highDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M9-V01-2A_1.fq.gz	ylipolytic2025_repeat/M9-V01-2A_2.fq.gz	True	True	True
yl_122	M9-V02-2A	Glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M9-V02-2A_1.fq.gz	ylipolytic2025_repeat/M9-V02-2A_2.fq.gz	True	True	True
yl_123	M9-V03-2A	Glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M9-V03-2A_1.fq.gz	ylipolytic2025_repeat/M9-V03-2A_2.fq.gz	True	True	True
yl_124	M10-V01-2A	Glucose_highDO_ph6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M10-V01-2A_1.fq.gz	ylipolytic2025_repeat/M10-V01-2A_2.fq.gz	True	True	True
yl_125	M10-V02-2A	Glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M10-V02-2A_1.fq.gz	ylipolytic2025_repeat/M10-V02-2A_2.fq.gz	True	True	True
yl_126	M10-V03-2A	Glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M10-V03-2A_1.fq.gz	ylipolytic2025_repeat/M10-V03-2A_2.fq.gz	True	True	True
yl_127	M11-V01-2A	High glycerol_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M11-V01-2A_1.fq.gz	ylipolytic2025_repeat/M11-V01-2A_2.fq.gz	True	True	True
yl_128	M12-V01-2A	Glycerol_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M12-V01-2A_1.fq.gz	ylipolytic2025_repeat/M12-V01-2A_2.fq.gz	True	True	True
yl_129	M13-V01-2A	Glycerol_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M13-V01-2A_1.fq.gz	ylipolytic2025_repeat/M13-V01-2A_2.fq.gz	True	True	True
yl_130	M15-V01-2A	Glycerol_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M15-V01-2A_1.fq.gz	ylipolytic2025_repeat/M15-V01-2A_2.fq.gz	True	True	True
yl_131	M15-V03-2A	Glycerol_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	Low	6	30	ylipolytic2025_repeat/M15-V03-2A_1.fq.gz	ylipolytic2025_repeat/M15-V03-2A_2.fq.gz	True	True	True
yl_132		Single_oscillation_#1.1_DO40	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S00_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S00_#1A_2.fq.gz	True	True	True
yl_133		Single_oscillation_#1.1_DO40	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S00_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S00_#2A_2.fq.gz	True	True	True
yl_134		Single oscillation_#2.1_DO0	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S03_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S03_#1A_2.fq.gz	True	True	True
yl_135		Single oscillation_#2.1_DO0	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S03_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S03_#2A_2.fq.gz	True	True	True
yl_136		Single oscillation_#3.1_DO34	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		3	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S04_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S04_#1A_2.fq.gz	True	True	True
yl_137		Single oscillation_#3.1_DO34	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		3	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S04_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S04_#2A_2.fq.gz	True	True	True
yl_138		Single_oscillation_#4.1_DO40	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S05_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S05_#1A_2.fq.gz	True	True	True
yl_139		Single_oscillation_#4.1_DO40	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S05_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S05_#2A_2.fq.gz	True	True	True
yl_140		Repeated_oscillation_#5.1_DO40	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S06_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S06_#1A_2.fq.gz	True	True	True
yl_141		Repeated_oscillation_#5.1_DO40	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S06_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S06_#2A_2.fq.gz	True	True	True
yl_142		Repeated_oscillation_#6.1_DO0	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S07_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S07_#1A_2.fq.gz	True	True	True
yl_143		Repeated_oscillation_#6.1_DO0	O2_oscillation	Single_oscillation_#1.1_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S07_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A1_S07_#2A_2.fq.gz	True	True	True
yl_144		Single_oscillation_#1.2_DO40	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S00_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S00_#1A_2.fq.gz	True	True	True
yl_145		Single_oscillation_#1.2_DO40	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S00_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S00_#2A_2.fq.gz	True	True	True
yl_146		Single oscillation_#2.2_DO3	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		3	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S04_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S04_#1A_2.fq.gz	True	True	True
yl_147		Single oscillation_#2.2_DO3	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		3	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S04_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S04_#2A_2.fq.gz	True	True	True
yl_148		Single oscillation_#3.2_DO0	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S05_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S05_#1A_2.fq.gz	True	True	True
yl_149		Single oscillation_#3.2_DO0	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S05_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S05_#2A_2.fq.gz	True	True	True
yl_150		Single_oscillation_#4.2_DO40	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S06_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S06_#1A_2.fq.gz	True	True	True
yl_151		Single_oscillation_#4.2_DO40	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S06_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S06_#2A_2.fq.gz	True	True	True
yl_152		Repeated_oscillation_#5.2_DO40	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		40	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S07_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S07_#1A_2.fq.gz	True	True	True
yl_153		Repeated_oscillation_#5.2_DO40	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S07_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S07_#2A_2.fq.gz	True	True	True
yl_154		Repeated_oscillation_#6.2_DO0	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S08_#1A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S08_#1A_2.fq.gz	True	True	True
yl_155		Repeated_oscillation_#6.2_DO0	O2_oscillation2	Single_oscillation_#1.2_DO40	W29	Continuous	Delft	Oxygen	Glucose		0	6	30	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S08_#2A_1.fq.gz	s3://modulome/jayanth/yarrowia_lipolytica_sequencing_2/_A2_S08_#2A_2.fq.gz	True	True	True
