,File name,Condition,Project,Strain,Mode of operation,Media,Limitation,C-source,Growth rate,DO,pH,Temperature,Read1,Read2
53,M15-V03-2A,Glycerol_lowDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glycerol,0.3,Low,6,30,ylipolytic2025_repeat/M15-V03-2A_1.fq.gz,ylipolytic2025_repeat/M15-V03-2A_2.fq.gz
54,W29 S02 1 transA,µ0,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.0,40,6,30,,
55,W29 S02 2 transA,µ0,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.0,40,6,30,,
56,W29 S03 1 transA,µ0.05,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.05,40,6,30,,
57,W29 S03 2 transA,µ0.05,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.05,40,6,30,,
58,W29 S04 1 transA,µ0.1,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.1,40,6,30,,
59,W29 S04 2 transA,µ0.1,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.1,40,6,30,,
60,W29 S05 1 transA,µ0.15,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.15,40,6,30,,
61,W29 S05 2 transA,µ0.15,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.15,40,6,30,,
62,W29 S06 1 transA,µ0.2,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.2,40,6,30,,
63,W29 S06 2 transA,µ0.2,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.2,40,6,30,,
64,W29 S07 1 transA,µ0.25,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.25,40,6,30,,
65,W29 S07 2 transA,µ0.25,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.25,40,6,30,,
66,W29 S08 1 transA,µ0.3,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.3,40,6,30,,
67,W29 S08 2 transA,µ0.3,Growth_Variance_W29,W29,Continuous ,Delft,Carbon,Glucose,0.3,40,6,30,,
68,SUC S02 1 transA,µ0_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.0,40,6,30,,
69,SUC S02 2 transA,µ0_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.0,40,6,30,,
70,SUC S03 1 transA,µ0.05_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.05,40,6,30,,
71,SUC S03 2 transA,µ0.05_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.05,40,6,30,,
72,SUC S04 1 transA,µ0.075_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.075,40,6,30,,
73,SUC S04 2 transA,µ0.075_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.075,40,6,30,,
74,SUC S05 1 transA,µ0.1_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.1,40,6,30,,
75,SUC S05 2 transA,µ0.1_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.1,40,6,30,,
76,SUC S06 1 transA,µ0.125_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.125,40,6,30,,
77,SUC S06 2 transA,µ0.125_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.125,40,6,30,,
78,SUC S07 1 transA,µ0.15_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.15,40,6,30,,
79,SUC S07 2 transA,µ0.15_ST8712,Growth_Variance_ST8712,ST8712,Continuous ,Delft,Carbon,Glucose,0.15,40,6,30,,
80,PD017 A1 S02 #1,µ0.1_DO50,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,50,6,30,,
81,PD017 A1 S02 #2,µ0.1_DO50,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,50,6,30,,
82,PD017 A1 S03 #1,µ0.1_DO25,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,25,6,30,,
83,PD017 A1 S03 #2,µ0.1_DO35,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,25,6,30,,
84,PD017 A1 S04 #1,µ0.1_DO10,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,10,6,30,,
85,PD017 A1 S04 #2,µ0.1_DO10,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,10,6,30,,
86,PD017 A1 S05 #1,µ0.1_DO5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,5,6,30,,
87,PD017 A1 S05 #2,µ0.1_DO5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,5,6,30,,
88,PD017 A1 S06 #1,µ0.1_DO2.5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,2.5,6,30,,
89,PD017 A1 S06 #2,µ0.1_DO2.5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,2.5,6,30,,
90,PD017 A1 S07 #1,µ0.1_DO0,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,0,6,30,,
91,PD017 A1 S07 #2,µ0.1_DO0,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.1,0,6,30,,
92,PD017 A3 S02 #1,µ0.2_DO50,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,50,6,30,,
93,PD017 A3 S02 #2,µ0.2_DO50,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,50,6,30,,
94,PD017 A3 S03 #1,µ0.2_DO25,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,25,6,30,,
95,PD017 A3 S03 #2,µ0.2_DO25,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,25,6,30,,
96,PD017 A3 S04 #1,µ0.2_DO10,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,10,6,30,,
97,PD017 A3 S04 #2,µ0.2_DO10,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,10,6,30,,
98,PD017 A3 S05 #1,µ0.2_DO5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,5,6,30,,
99,PD017 A3 S05 #2,µ0.2_DO5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,5,6,30,,
100,PD017 A3 S06 #1,µ0.2_DO2.5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,2.5,6,30,,
101,PD017 A3 S06 #2,µ0.2_DO2.5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,2.5,6,30,,
102,PD017 A3 S07 #1,µ0.2_DO0,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,0,6,30,,
103,PD017 A3 S07 #2,µ0.2_DO0,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.2,0,6,30,,
104,PD019 A1 S02 #1,µ0.05_DO50,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,50,6,30,,
105,PD019 A1 S02 #2,µ0.05_DO50,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,50,6,30,,
106,PD019 A1 S03 #1,µ0.05_DO25,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,25,6,30,,
107,PD019 A1 S03 #2,µ0.05_DO35,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,25,6,30,,
108,PD019 A1 S04 #1,µ0.05_DO10,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,10,6,30,,
109,PD019 A1 S04 #2,µ0.05_DO10,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,10,6,30,,
110,PD019 A1 S05 #1,µ0.05_DO5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,5,6,30,,
111,PD019 A1 S05 #2,µ0.05_DO5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,5,6,30,,
112,PD019 A1 S06 #1,µ0.05_DO2.5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,2.5,6,30,,
113,PD019 A1 S06 #2,µ0.05_DO2.5,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,2.5,6,30,,
114,PD019 A1 S07 #1,µ0.05_DO0,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,0,6,30,,
115,PD019 A1 S07 #2,µ0.05_DO0,O2_oscillation,W29,Continuous ,Delft,Carbon,Glucose,0.05,0,6,30,,
116,R1_S02_#1,CO2_10%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S02_#1A_1.fq.gz,ylipolytic2025_repeat/R1_S02_#1A_2.fq.gz
117,R1_S02_#2,CO2_10%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S02_#2A_1.fq.gz,ylipolytic2025_repeat/R1_S02_#2A_2.fq.gz
118,R1_S03_#1,CO2_20%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S03_#1A_1.fq.gz,ylipolytic2025_repeat/R1_S03_#1A_2.fq.gz
119,R1_S03_#2,CO2_20%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S03_#2A_1.fq.gz,ylipolytic2025_repeat/R1_S03_#2A_2.fq.gz
120,R1_S04_#1,CO2_30%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S04_#1A_1.fq.gz,ylipolytic2025_repeat/R1_S04_#1A_2.fq.gz
121,R1_S04_#2,CO2_30%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S04_#2A_1.fq.gz,ylipolytic2025_repeat/R1_S04_#2A_2.fq.gz
122,R1_S05_#1,CO2_40%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S05_#1A_1.fq.gz,ylipolytic2025_repeat/R1_S05_#1A_2.fq.gz
123,R1_S05_#2,CO2_40%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S05_#2A_1.fq.gz,ylipolytic2025_repeat/R1_S05_#2A_2.fq.gz
124,R1_S06_#1,CO2_50%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S06_#1A_1.fq.gz,ylipolytic2025_repeat/R1_S06_#1A_2.fq.gz
125,R1_S06_#2,CO2_50%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S06_#2A_1.fq.gz,ylipolytic2025_repeat/R1_S06_#2A_2.fq.gz
126,R1_S08_#1,CO2_0%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S08_#1A_1.fq.gz,ylipolytic2025_repeat/R1_S08_#1A_2.fq.gz
127,R1_S08_#2,CO2_0%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R1_S08_#2A_1.fq.gz,ylipolytic2025_repeat/R1_S08_#2A_2.fq.gz
128,R3_S02_#1,CO2_10%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S02_#1A_1.fq.gz,ylipolytic2025_repeat/R3_S02_#1A_2.fq.gz
129,R3_S02_#2,CO2_10%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S02_#2A_1.fq.gz,ylipolytic2025_repeat/R3_S02_#2A_2.fq.gz
130,R3_S03_#1,CO2_20%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,,
131,R3_S03_#2,CO2_20%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,,
132,R3_S04_#1,CO2_30%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S04_#1A_1.fq.gz,ylipolytic2025_repeat/R3_S04_#1A_2.fq.gz
133,R3_S04_#2,CO2_30%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S04_#2A_1.fq.gz,ylipolytic2025_repeat/R3_S04_#2A_2.fq.gz
134,R3_S05_#1,CO2_40%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S05_#1A_1.fq.gz,ylipolytic2025_repeat/R3_S05_#1A_2.fq.gz
135,R3_S05_#2,CO2_40%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S05_#2A_1.fq.gz,ylipolytic2025_repeat/R3_S05_#2A_2.fq.gz
136,R3_S06_#1,CO2_50%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S06_#1A_1.fq.gz,ylipolytic2025_repeat/R3_S06_#1A_2.fq.gz
137,R3_S06_#2,CO2_50%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S06_#2A_1.fq.gz,ylipolytic2025_repeat/R3_S06_#2A_2.fq.gz
138,R3_S08_#1,CO2_0%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S08_#1A_1.fq.gz,ylipolytic2025_repeat/R3_S08_#1A_2.fq.gz
139,R3_S08_#2,CO2_0%,CO2_oscillation,W29,Continuous,Delft,None,Glucose,0.1,25,N.A,30,ylipolytic2025_repeat/R3_S08_#2A_1.fq.gz,ylipolytic2025_repeat/R3_S08_#2A_2.fq.gz
